,14-Mar-20,15-Mar-20,16-Mar-20,17-Mar-20,18-Mar-20,19-Mar-20,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20,27-Mar-20,28-Mar-20,29-Mar-20,30-Mar-20,31-Mar-20,01-Apr-20,02-Apr-20,03-Apr-20,04-Apr-20,05-Apr-20,06-Apr-20,07-Apr-20,08-Apr-20,09-Apr-20,10-Apr-20,11-Apr-20,12-Apr-20,13-Apr-20,14-Apr-20,15-Apr-20,16-Apr-20,17-Apr-20,18-Apr-20,19-Apr-20,20-Apr-20,21-Apr-20,22-Apr-20,23-Apr-20,24-Apr-20,25-Apr-20,26-Apr-20,27-Apr-20,28-Apr-20,29-Apr-20,30-Apr-20,01-May-20,02-May-20,03-May-20,04-May-20,05-May-20,06-May-20,07-May-20
Total,81.0,108.0,123.0,134.0,171.0,198.0,256.0,334.0,401.0,503.0,567.0,657.0,722.0,886.0,1029.0,1139.0,1326.0,1635.0,2059.0,2545.0,3105.0,3684.0,4293.0,4777.0,5349.0,5914.0,6727.0,7598.0,8452.0,9210.0,10453.0,11484.0,12370.0,13431.0,14353.0,15724.0,17304.0,18543.0,20080.0,21372.0,23039.0,24447.0,26282.0,27889.0,29457.0,31359.0,33064.0,34865.0,37261.0,39825.0,42777.0,46433.0,49404.0,53006.0,56350.0
Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,22.0,29.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
Andhra Pradesh,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,6.0,7.0,8.0,10.0,11.0,13.0,19.0,21.0,23.0,44.0,111.0,149.0,164.0,192.0,256.0,303.0,314.0,348.0,363.0,381.0,405.0,420.0,439.0,484.0,525.0,534.0,572.0,603.0,647.0,722.0,757.0,813.0,893.0,955.0,1016.0,1097.0,1177.0,1259.0,1332.0,1403.0,1463.0,1525.0,1583.0,1650.0,1717.0,1777.0,1833.0
Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Assam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,23.0,26.0,26.0,26.0,28.0,28.0,29.0,29.0,29.0,30.0,32.0,33.0,33.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,38.0,38.0,43.0,43.0,43.0,43.0,43.0,45.0,46.0,54.0
Bihar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,7.0,9.0,11.0,15.0,15.0,21.0,24.0,29.0,31.0,32.0,32.0,32.0,38.0,39.0,58.0,60.0,64.0,64.0,66.0,66.0,72.0,83.0,85.0,86.0,96.0,113.0,126.0,143.0,170.0,223.0,251.0,277.0,346.0,366.0,403.0,425.0,466.0,481.0,517.0,528.0,535.0,542.0,550.0
Chandigarh,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,13.0,15.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,26.0,26.0,27.0,27.0,27.0,27.0,28.0,36.0,45.0,56.0,68.0,74.0,88.0,94.0,97.0,102.0,119.0,124.0,135.0
Chhattisgarh,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,18.0,18.0,25.0,31.0,31.0,33.0,33.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,40.0,43.0,43.0,57.0,58.0,59.0,59.0,59.0
Dadra and Nagar Haveli and Daman and Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Daman and Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,7.0,7.0,7.0,8.0,10.0,14.0,20.0,27.0,27.0,30.0,30.0,35.0,36.0,40.0,49.0,72.0,97.0,120.0,152.0,293.0,386.0,445.0,503.0,525.0,576.0,669.0,720.0,903.0,1069.0,1154.0,1510.0,1561.0,1578.0,1640.0,1707.0,1893.0,2003.0,2081.0,2156.0,2248.0,2376.0,2514.0,2625.0,2918.0,3108.0,3314.0,3439.0,3515.0,3738.0,4122.0,4549.0,4898.0,5104.0,5532.0,5980.0
Goa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Gujarat,0.0,0.0,0.0,0.0,0.0,2.0,7.0,14.0,18.0,30.0,34.0,38.0,43.0,47.0,55.0,63.0,70.0,74.0,87.0,88.0,95.0,108.0,128.0,146.0,175.0,186.0,262.0,378.0,468.0,516.0,572.0,650.0,766.0,929.0,1099.0,1376.0,1743.0,1939.0,2178.0,2407.0,2624.0,2815.0,3071.0,3301.0,3548.0,3774.0,4082.0,4395.0,4721.0,5054.0,5428.0,5804.0,6245.0,6625.0,7013.0
Haryana,14.0,14.0,14.0,15.0,16.0,17.0,19.0,21.0,21.0,28.0,30.0,31.0,32.0,33.0,35.0,35.0,36.0,43.0,43.0,49.0,58.0,84.0,90.0,110.0,143.0,167.0,170.0,176.0,179.0,195.0,196.0,198.0,204.0,215.0,223.0,232.0,250.0,251.0,255.0,264.0,270.0,275.0,287.0,296.0,301.0,308.0,311.0,339.0,357.0,376.0,442.0,517.0,548.0,594.0,625.0
Himachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,13.0,14.0,18.0,27.0,27.0,28.0,28.0,32.0,32.0,32.0,33.0,35.0,35.0,38.0,39.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,41.0,42.0,43.0,46.0
Jammu and Kashmir,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,11.0,14.0,20.0,33.0,38.0,49.0,55.0,62.0,70.0,75.0,92.0,106.0,109.0,125.0,158.0,184.0,207.0,224.0,245.0,270.0,278.0,300.0,314.0,328.0,341.0,354.0,368.0,380.0,407.0,434.0,454.0,494.0,523.0,546.0,565.0,581.0,614.0,639.0,666.0,701.0,726.0,741.0,775.0,793.0
Jharkhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,13.0,14.0,17.0,19.0,24.0,27.0,28.0,29.0,32.0,33.0,41.0,46.0,46.0,46.0,53.0,59.0,67.0,82.0,103.0,105.0,107.0,110.0,113.0,115.0,115.0,115.0,125.0,127.0,132.0
Karnataka,6.0,6.0,7.0,9.0,14.0,15.0,15.0,20.0,26.0,33.0,41.0,51.0,55.0,64.0,81.0,83.0,88.0,101.0,110.0,124.0,128.0,144.0,151.0,163.0,175.0,181.0,197.0,207.0,215.0,232.0,247.0,260.0,279.0,315.0,359.0,384.0,390.0,408.0,418.0,427.0,445.0,474.0,500.0,503.0,512.0,523.0,535.0,565.0,589.0,601.0,614.0,651.0,673.0,693.0,705.0
Kerala,19.0,24.0,27.0,27.0,27.0,28.0,40.0,52.0,67.0,95.0,109.0,118.0,137.0,176.0,182.0,202.0,234.0,241.0,265.0,286.0,295.0,306.0,314.0,327.0,336.0,345.0,357.0,364.0,374.0,376.0,379.0,387.0,388.0,395.0,396.0,400.0,402.0,408.0,427.0,438.0,448.0,451.0,458.0,469.0,482.0,486.0,496.0,498.0,498.0,500.0,500.0,500.0,503.0,503.0,503.0
Ladakh,0.0,0.0,0.0,0.0,8.0,8.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,23.0,42.0,42.0,42.0,42.0,42.0
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madhya Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,6.0,7.0,15.0,20.0,29.0,39.0,39.0,47.0,66.0,98.0,107.0,154.0,179.0,193.0,256.0,290.0,341.0,411.0,451.0,529.0,562.0,614.0,741.0,938.0,1164.0,1310.0,1402.0,1407.0,1485.0,1552.0,1587.0,1687.0,1846.0,1945.0,2090.0,2165.0,2387.0,2560.0,2625.0,2715.0,2788.0,2837.0,2942.0,3049.0,3138.0,3252.0
Maharashtra,14.0,32.0,38.0,41.0,44.0,48.0,52.0,64.0,74.0,97.0,107.0,122.0,125.0,156.0,186.0,203.0,220.0,302.0,335.0,423.0,487.0,635.0,747.0,868.0,1018.0,1135.0,1364.0,1574.0,1761.0,1982.0,2334.0,2680.0,2916.0,3201.0,3321.0,3648.0,4200.0,4666.0,5218.0,5649.0,6427.0,6817.0,7628.0,8068.0,8590.0,9318.0,9915.0,10498.0,11506.0,12296.0,12974.0,14541.0,15525.0,16758.0,17974.0
Manipur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Meghalaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Mizoram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,20.0,21.0,39.0,40.0,42.0,42.0,48.0,50.0,54.0,54.0,55.0,60.0,60.0,60.0,60.0,61.0,61.0,74.0,79.0,83.0,89.0,94.0,100.0,103.0,118.0,118.0,125.0,143.0,154.0,160.0,162.0,169.0,177.0,205.0,219.0
Puducherry,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0
Punjab,1.0,1.0,1.0,1.0,2.0,2.0,3.0,13.0,21.0,23.0,29.0,31.0,33.0,38.0,38.0,38.0,41.0,42.0,46.0,47.0,53.0,65.0,68.0,79.0,99.0,106.0,130.0,151.0,158.0,170.0,176.0,184.0,186.0,197.0,211.0,234.0,244.0,245.0,251.0,278.0,283.0,298.0,308.0,322.0,330.0,342.0,375.0,480.0,585.0,772.0,1102.0,1232.0,1451.0,1526.0,1644.0
Rajasthan,3.0,4.0,4.0,4.0,7.0,9.0,17.0,24.0,28.0,32.0,32.0,38.0,40.0,50.0,54.0,59.0,79.0,93.0,120.0,133.0,179.0,206.0,266.0,301.0,343.0,383.0,463.0,561.0,700.0,804.0,897.0,1005.0,1076.0,1131.0,1229.0,1351.0,1478.0,1576.0,1735.0,1888.0,1964.0,2034.0,2083.0,2185.0,2262.0,2364.0,2440.0,2584.0,2666.0,2772.0,2886.0,3061.0,3158.0,3317.0,3427.0
Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,9.0,12.0,18.0,26.0,29.0,38.0,42.0,50.0,67.0,124.0,234.0,309.0,411.0,485.0,571.0,621.0,690.0,738.0,834.0,911.0,969.0,1075.0,1173.0,1204.0,1242.0,1267.0,1323.0,1372.0,1477.0,1520.0,1596.0,1629.0,1683.0,1755.0,1821.0,1885.0,1937.0,2058.0,2162.0,2323.0,2526.0,2757.0,3023.0,3550.0,4058.0,4829.0,5409.0
Telangana,1.0,3.0,4.0,5.0,13.0,16.0,19.0,21.0,27.0,33.0,37.0,41.0,44.0,59.0,67.0,70.0,77.0,97.0,127.0,154.0,229.0,272.0,334.0,364.0,404.0,453.0,471.0,487.0,503.0,531.0,592.0,644.0,650.0,700.0,766.0,809.0,858.0,872.0,928.0,943.0,970.0,983.0,990.0,1001.0,1003.0,1009.0,1016.0,1038.0,1044.0,1061.0,1082.0,1085.0,1096.0,1107.0,1122.0
Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,16.0,29.0,42.0,64.0,88.0
Uttar Pradesh,12.0,13.0,13.0,15.0,17.0,20.0,24.0,28.0,30.0,32.0,35.0,38.0,42.0,49.0,65.0,72.0,96.0,104.0,117.0,128.0,174.0,234.0,278.0,305.0,332.0,361.0,410.0,433.0,452.0,483.0,558.0,660.0,735.0,805.0,849.0,975.0,1100.0,1184.0,1337.0,1449.0,1510.0,1621.0,1793.0,1873.0,1986.0,2053.0,2134.0,2211.0,2328.0,2487.0,2645.0,2766.0,2880.0,2998.0,3071.0
Uttarakhand,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,10.0,16.0,22.0,26.0,31.0,31.0,35.0,35.0,35.0,35.0,35.0,35.0,37.0,37.0,37.0,40.0,42.0,44.0,46.0,46.0,46.0,47.0,48.0,48.0,51.0,51.0,54.0,55.0,57.0,57.0,59.0,60.0,60.0,61.0,61.0,61.0
West Bengal,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,7.0,7.0,9.0,9.0,10.0,15.0,18.0,21.0,22.0,37.0,37.0,53.0,53.0,53.0,80.0,80.0,91.0,99.0,103.0,116.0,126.0,134.0,152.0,190.0,213.0,231.0,255.0,287.0,310.0,339.0,392.0,423.0,456.0,514.0,571.0,611.0,649.0,697.0,725.0,758.0,795.0,922.0,1198.0,1259.0,1344.0,1456.0,1548.0
