,08.Apr.2020,09.Apr.2020,10.Apr.2020,11.Apr.2020,12.Apr.2020,13.Apr.2020,14.Apr.2020,15.Apr.2020,16.Apr.2020,17.Apr.2020,18.Apr.2020,20.Apr.2020,21.Apr.2020,22.Apr.2020,23.Apr.2020,24.Apr.2020,25.Apr.2020,26.Apr.2020,27.Apr.2020,28.Apr.2020,29.Apr.2020,1.May.2020,2.May.2020,3.May.2020,4.May.2020,5.May.2020,6.May.2020
Yerwada-Kalas-Dhanori,6,6,6,9,16,17,28,33,43,48,52,67,68,82,101,104,119,127,139,158,167,172,182,194,214,217,236
Nagar Road-Wadgaonsheri,1,1,1,3,3,3,4,5,6,6,6,13,16,18,21,26,29,30,30,31,35,42,48,49,55,57,56
Aundh-Baner,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,6
Dhole Patil,16,16,25,28,31,39,40,48,57,61,70,96,97,110,122,134,160,163,184,190,203,246,267,290,314,322,347
Shivajinagar-Ghole Road,6,6,6,7,11,11,17,27,28,33,39,59,59,77,90,110,133,142,157,175,190,227,237,240,242,243,247
Kasba-Vishrambagwada,17,18,23,29,33,41,42,45,51,63,65,93,102,111,114,124,127,131,134,154,157,151,156,158,169,172,172
Bhawani Peth,40,40,42,56,69,78,85,96,118,130,140,157,168,171,187,195,214,245,250,263,266,325,352,391,416,433,451
Kothrud-Bavdhan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,5,5,3
Wanawadi-Ramtekdi,5,5,5,8,10,15,18,22,24,54,32,30,32,34,43,44,54,56,58,61,63,90,90,95,96,104,110
Warje-Karvenagar,1,1,1,1,1,3,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,10,10,11,15
Hadapsar-Mundhawa,12,13,18,21,21,21,21,21,21,21,23,24,26,26,28,28,30,32,41,43,51,54,55,55,56,58,52
Bibwewadi,4,4,4,8,10,11,12,15,17,20,23,23,24,24,26,30,31,32,33,36,36,55,64,68,71,76,85
Sinhagad Road,5,5,5,5,5,5,5,8,8,8,9,8,8,9,10,10,10,10,11,11,11,11,12,12,16,16,12
Dhankawadi-Sahakarnagar,13,13,13,14,19,18,22,26,27,30,32,33,38,43,45,49,55,61,62,62,64,121,121,121,124,124,79
Kondhwa-Yewalewadi,6,6,6,8,8,8,8,9,9,9,5,10,10,12,12,12,13,16,16,19,19,28,29,29,30,33,29
Outside Pune,6,6,6,10,12,12,15,18,21,25,27,35,37,39,41,44,49,50,53,55,58,64,64,67,68,70,65